1.0000000000	0.5000000000	0.3333333333	0.2500000000	0.2000000000	0.1666666667	0.1428571429	0.1250000000	0.1111111111	0.1000000000
0.5000000000	0.3333333333	0.2500000000	0.2000000000	0.1666666667	0.1428571429	0.1250000000	0.1111111111	0.1000000000	0.0909090909
0.3333333333	0.2500000000	0.2000000000	0.1666666667	0.1428571429	0.1250000000	0.1111111111	0.1000000000	0.0909090909	0.0833333333
0.2500000000	0.2000000000	0.1666666667	0.1428571429	0.1250000000	0.1111111111	0.1000000000	0.0909090909	0.0833333333	0.0769230769
0.2000000000	0.1666666667	0.1428571429	0.1250000000	0.1111111111	0.1000000000	0.0909090909	0.0833333333	0.0769230769	0.0714285714
0.1666666667	0.1428571429	0.1250000000	0.1111111111	0.1000000000	0.0909090909	0.0833333333	0.0769230769	0.0714285714	0.0666666667
0.1428571429	0.1250000000	0.1111111111	0.1000000000	0.0909090909	0.0833333333	0.0769230769	0.0714285714	0.0666666667	0.0625000000
0.1250000000	0.1111111111	0.1000000000	0.0909090909	0.0833333333	0.0769230769	0.0714285714	0.0666666667	0.0625000000	0.0588235294
0.1111111111	0.1000000000	0.0909090909	0.0833333333	0.0769230769	0.0714285714	0.0666666667	0.0625000000	0.0588235294	0.0555555556
0.1000000000	0.0909090909	0.0833333333	0.0769230769	0.0714285714	0.0666666667	0.0625000000	0.0588235294	0.0555555556	0.0526315789
